                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.84271,                0.69615,                 1.2907,                0.85372,                0.87612,                0.89535,                0.59013,                 1.2653,                0.73342,                 1.8218,              0.0089011,              0.0089011,              0.0089011
                    114,                0.84969,                0.69931,                 1.2878,                0.87732,                0.86957,                0.89817,                0.59256,                  1.246,                0.72454,                 1.8014,              0.0088912,              0.0088912,              0.0088912
                    115,                 0.8467,                 0.6899,                 1.2903,                0.90409,                0.84824,                 0.8992,                0.58434,                 1.2519,                0.73375,                 1.7997,              0.0088813,              0.0088813,              0.0088813
                    116,                0.84309,                0.69761,                  1.284,                0.89016,                0.85763,                0.90087,                0.59349,                 1.2512,                0.72675,                 1.7958,              0.0088714,              0.0088714,              0.0088714
                    117,                0.84395,                0.69867,                 1.2897,                0.88681,                0.86769,                 0.9026,                0.59057,                 1.2609,                0.71771,                 1.8038,              0.0088615,              0.0088615,              0.0088615
                    118,                 0.8311,                0.70221,                 1.2792,                0.88435,                0.86571,                0.90097,                0.59436,                 1.2685,                0.71726,                 1.8091,              0.0088516,              0.0088516,              0.0088516
                    119,                 0.8438,                 0.6997,                 1.2897,                 0.8935,                0.85808,                0.89747,                0.59256,                 1.2591,                0.72977,                 1.8036,              0.0088417,              0.0088417,              0.0088417
                    120,                0.83474,                0.68251,                 1.2794,                0.88192,                0.86136,                0.89853,                 0.5972,                 1.2506,                0.72323,                 1.7924,              0.0088318,              0.0088318,              0.0088318
                    121,                0.83816,                0.68658,                 1.2837,                0.88647,                0.85972,                0.90462,                0.59685,                 1.2475,                0.71656,                 1.7902,              0.0088219,              0.0088219,              0.0088219
                    122,                0.83812,                0.69684,                 1.2868,                  0.871,                0.87613,                0.90223,                0.59369,                 1.2421,                0.70926,                 1.7876,               0.008812,               0.008812,               0.008812
                    123,                0.83585,                0.69383,                  1.282,                0.87867,                0.86874,                0.90246,                0.59405,                 1.2398,                 0.7127,                 1.7813,              0.0088021,              0.0088021,              0.0088021
                    124,                0.82203,                0.67806,                 1.2689,                0.87465,                0.87941,                0.90228,                0.59422,                 1.2366,                0.71548,                 1.7816,              0.0087922,              0.0087922,              0.0087922
                    125,                 0.8273,                0.68742,                 1.2704,                 0.8627,                0.88187,                0.90038,                0.59956,                 1.2342,                0.72106,                  1.778,              0.0087823,              0.0087823,              0.0087823
                    126,                0.83392,                0.69316,                 1.2815,                0.87188,                0.87091,                0.90233,                 0.6009,                  1.229,                  0.713,                 1.7728,              0.0087724,              0.0087724,              0.0087724
                    127,                0.82178,                0.67754,                 1.2748,                0.86153,                0.87276,                0.90208,                0.59821,                 1.2385,                0.72402,                 1.7929,              0.0087625,              0.0087625,              0.0087625
                    128,                0.82698,                0.67868,                 1.2745,                0.86895,                0.87032,                0.90391,                0.59591,                 1.2378,                0.70985,                 1.7916,              0.0087526,              0.0087526,              0.0087526
                    129,                0.83385,                0.68057,                 1.2774,                0.88123,                0.87121,                0.90834,                0.60256,                 1.2434,                0.70162,                 1.7916,              0.0087427,              0.0087427,              0.0087427
                    130,                0.82457,                0.67881,                 1.2735,                0.89033,                0.86577,                0.90819,                 0.5983,                 1.2457,                0.70073,                 1.7944,              0.0087328,              0.0087328,              0.0087328
                    131,                0.82414,                0.67655,                  1.273,                0.88749,                0.86464,                0.90726,                0.59989,                  1.251,                0.71524,                 1.8023,              0.0087229,              0.0087229,              0.0087229
                    132,                0.81664,                0.68691,                  1.265,                0.88435,                0.87198,                0.90381,                0.59896,                 1.2407,                0.71537,                 1.7935,               0.008713,               0.008713,               0.008713
                    133,                0.81962,                0.68212,                 1.2707,                0.87567,                0.87245,                0.90437,                0.59722,                 1.2464,                0.71542,                 1.8112,              0.0087031,              0.0087031,              0.0087031
                    134,                0.81423,                0.66968,                 1.2639,                0.88279,                 0.8589,                0.90192,                0.59848,                 1.2525,                0.71354,                 1.8183,              0.0086932,              0.0086932,              0.0086932
                    135,                0.82285,                0.67828,                 1.2761,                 0.8813,                0.85808,                 0.8947,                0.59352,                 1.2536,                0.72435,                 1.8186,              0.0086833,              0.0086833,              0.0086833
                    136,                0.81006,                0.65865,                 1.2555,                0.85987,                0.87859,                0.89174,                0.59021,                 1.2648,                0.72316,                 1.8313,              0.0086734,              0.0086734,              0.0086734
                    137,                0.81263,                0.66523,                 1.2612,                0.86076,                0.87285,                0.89334,                0.59327,                 1.2721,                0.72605,                 1.8362,              0.0086635,              0.0086635,              0.0086635
                    138,                0.81285,                0.66679,                 1.2656,                0.88553,                  0.863,                0.89985,                0.59451,                 1.2603,                 0.7218,                 1.8176,              0.0086536,              0.0086536,              0.0086536
                    139,                0.81127,                0.66517,                 1.2586,                0.88165,                0.86792,                0.89724,                0.59363,                 1.2633,                0.71766,                   1.82,              0.0086437,              0.0086437,              0.0086437
                    140,                0.81073,                0.67181,                  1.256,                0.89072,                  0.863,                0.90247,                0.59642,                  1.254,                0.70897,                 1.8063,              0.0086338,              0.0086338,              0.0086338
                    141,                0.81119,                0.65949,                 1.2615,                0.88823,                0.86136,                0.90059,                0.59282,                 1.2459,                0.70658,                 1.8013,              0.0086239,              0.0086239,              0.0086239
                    142,                0.80837,                0.66143,                 1.2536,                0.88002,                0.86218,                0.89796,                0.59555,                 1.2567,                 0.7058,                 1.8177,               0.008614,               0.008614,               0.008614
                    143,                0.80709,                0.66372,                 1.2626,                0.87987,                0.86874,                0.90376,                0.60339,                 1.2546,                0.69745,                 1.8121,              0.0086041,              0.0086041,              0.0086041
                    144,                0.80427,                 0.6553,                 1.2603,                0.88586,                0.86874,                0.90351,                0.60403,                 1.2522,                0.70059,                  1.804,              0.0085942,              0.0085942,              0.0085942
                    145,                0.80298,                0.65313,                 1.2575,                 0.8801,                0.86957,                0.90442,                0.60394,                 1.2475,                0.69751,                 1.8044,              0.0085843,              0.0085843,              0.0085843
                    146,                0.80813,                 0.6746,                 1.2624,                0.89341,                0.85398,                0.90383,                0.60348,                 1.2446,                0.69484,                 1.8008,              0.0085744,              0.0085744,              0.0085744
                    147,                0.79411,                0.65569,                 1.2479,                0.87117,                0.87777,                0.90403,                0.60275,                 1.2407,                0.69924,                 1.7985,              0.0085645,              0.0085645,              0.0085645
                    148,                0.80298,                0.65431,                 1.2618,                 0.8687,                0.87941,                0.90509,                0.59988,                 1.2436,                0.69351,                  1.802,              0.0085546,              0.0085546,              0.0085546
                    149,                0.79299,                0.64706,                 1.2471,                0.86853,                0.87531,                0.90611,                0.60299,                 1.2463,                0.69375,                  1.802,              0.0085447,              0.0085447,              0.0085447
                    150,                0.79756,                0.65015,                  1.245,                0.86196,                0.88433,                0.90471,                 0.6017,                 1.2416,                 0.6944,                 1.7977,              0.0085348,              0.0085348,              0.0085348
                    151,                0.79333,                0.63431,                 1.2459,                0.87519,                0.86858,                0.90741,                0.60164,                 1.2474,                0.68873,                 1.8032,              0.0085249,              0.0085249,              0.0085249
